,Country Name,Year,LowerSecondaryAttainment,UpperSecondaryAttainment,BachelorsAttainment,MastersAttainment,DoctoralAttainment,GDP_Millions,%_expenditure_gdp
0,Australia,2010,93.19953156,72.79897308,,,,1146138465603.81,5.550059795
1,Austria,2010,,76.55609894,,,,391892746544.69,5.7004799839999984
2,Azerbaijan,2010,95.56773376,88.645401,,,,52909294791.93,2.780620098
3,Belgium,2010,79.64148712,61.7283783,,,,480951629493.03,6.442590237
4,Bulgaria,2010,93.21961212,69.61495209,20.71764946,,,50381825504.26,3.882390022
5,Bahrain,2010,54.89627075,42.11301041,9.479330062999999,1.00327003,0.2146299928,25713271276.6,
6,Bosnia and Herzegovina,2010,56.91952896,31.11343002,,,,17176781336.76,
7,Switzerland,2010,95.79167175,82.45456696,,,,603434493402.68,4.926050186
8,Chile,2010,75.04583740000002,52.86014938,,,,218537551220.07,4.162089825
9,Colombia,2010,44.15533829,39.13526154,9.47192955,2.571990013,,286563105192.46,4.83382988
10,Costa Rica,2010,48.98918152,35.50172043,,,,37658614803.28,6.634449959
11,Cyprus,2010,75.84166718,65.45372009,,,,25732432719.08,6.54279995
12,Czech Republic,2010,99.82282257,87.99365997,,,,209069940963.18,4.064459801
13,Germany,2010,96.52384186,81.12799072,,,,3396354075663.73,4.94367981
14,Denmark,2010,,74.93997955,,,,321995279401.5,8.559550285
15,Ecuador,2010,44.68481827,34.91764832,10.2697897,0.9248600006,,69555367000.0,4.507430077
16,Finland,2010,,70.44805908,,,,249181190476.37,6.504449844
17,France,2010,79.21469116,61.89693832,,,,2642609548930.36,
18,Hungary,2010,97.93047333,75.6911087,,,,131916516051.99,4.761209965
19,"Iran, Islamic Rep.",2010,62.48841858,42.48559189,,,,486807615326.15,3.709180117
20,Lithuania,2010,90.95951843,80.54962158,,,,37128694028.24,5.312739849
21,Latvia,2010,99.11830139,85.56651306,,,,23869752327.33,5.072710037
22,Moldova,2010,93.78920746,74.40273285,,,,6974960345.37,7.592299937999999
23,Mexico,2010,53.08692169,29.20441055,12.76121998,1.311210036,0.1426800042,1057801295584.05,5.159220219
24,Malta,2010,68.13394165,25.86957932,,,,9035932122.5,6.454889774
25,Netherlands,2010,89.52279663,66.77232361,,,,846554894931.08,5.489089966
26,Norway,2010,99.70407867,75.4141922,,,,428757038466.84,6.746339797999999
27,Pakistan,2010,33.38510132,23.87871933,6.974460125,,,177165635077.07,2.286870003
28,Portugal,2010,41.30255127,25.59531021,12.66298008,,,237880908317.65,5.412489891
29,West Bank and Gaza,2010,52.65996170000001,34.95087051,,,,9681500000.0,6.7254700660000015
30,Qatar,2010,46.81409073,36.73772812,15.75669956,,,125122306346.15,4.539659977
31,Singapore,2010,76.19834137,65.52105713,23.68022919,,,239809387605.43,3.080440044
32,Serbia,2010,85.63169098,63.66580963,,,,41819468691.83,4.327809811
33,Slovenia,2010,95.4296875,77.67381287,,,,48161250405.25,5.545460224
34,Sweden,2010,87.07034302,77.61637878,,,,495812558843.31,6.522689819
35,Turkey,2010,46.58588028,29.98638916,,,,776992599946.77,
36,Uruguay,2010,49.49821091,27.17359924,,,,40284481651.9,
37,United States,2010,94.76950073,87.14940643,,,,14992052727000.0,
38,Australia,2011,93.60810089,74.0616684,,,,1396649906339.35,5.074510098
39,Austria,2011,,76.42769623,,,,431120310088.82,5.592269897
40,Azerbaijan,2011,95.55583954,88.65878296,,,,65951627200.2,2.435640097
41,Belgium,2011,80.10137177,62.75992966,,,,522645519183.59,6.4319901470000005
42,Bangladesh,2011,35.29796982,24.18281937,5.693860054,1.681699991,0.07954999804,128637938711.39,2.132699966
43,Bulgaria,2011,93.73532867,70.65316772,20.80995941,,,57386216850.34,3.566430092
44,Bosnia and Herzegovina,2011,56.83264923,32.74235916,,,,18644723860.97,
45,Switzerland,2011,95.86393738,82.35539246,,,,722038242134.62,4.969860077
46,Chile,2011,72.83944702,50.8061409,10.36456966,0.4860399961,,252251992029.44,4.045189857
47,Colombia,2011,45.35335922,40.26528168,9.523409843,2.7658100130000003,,334943871931.75,4.466080189
48,Costa Rica,2011,50.1252594,36.54347992,,,,42762617081.65,6.455349922000001
49,Cyprus,2011,77.22283173,67.78410339,,,,27565469098.0,6.5385398860000015
50,Czech Republic,2011,99.81562042,88.3989563,,,,229562733398.95,4.2721400260000015
51,Germany,2011,96.71362305,81.72286224,,,,3744408602683.94,4.82487011
52,Denmark,2011,,75.47676086,,,,344003137611.27,8.48486042
53,Ecuador,2011,45.34046936,35.90111923,9.621370316,0.5546399951,,79276664000.0,4.726890087
54,Finland,2011,,71.20155334,,,,275243697751.01,6.445049762999999
55,France,2011,79.81372833,62.7715683,,,,2861408170264.6,
56,Honduras,2011,27.64826965,19.22204971,5.118130207,,,17710315006.0,
57,Hungary,2011,98.20565796,76.65756226,,,,141759722464.0,4.590109825
58,Indonesia,2011,44.48204041,28.93486023,,,,892969107923.09,3.189440012
59,Lithuania,2011,91.63420105,81.66577911,,,,43535051482.39,5.127089977
60,Latvia,2011,99.09664154,85.07553101,,,,28374734038.0,4.932980061
61,Moldova,2011,94.31947327,74.43657684,,,,8414360656.3,7.136380196
62,Malta,2011,69.74372864,27.37339973,,,,9638916481.07,7.796120167000001
63,Netherlands,2011,89.43125153,66.4095993,,,,904085980796.02,5.463039875
64,Norway,2011,99.59889984,75.99201965,,,,498283438454.28,6.4545202260000005
65,Pakistan,2011,33.24782181,24.15409088,7.368189812000001,,,213587413184.0,2.221750021
66,Portugal,2011,45.00740051,27.87612915,14.1166296,,,244797226567.11,5.123330116
67,West Bank and Gaza,2011,54.26387024,36.35604858,,,,11186100000.0,5.702700137999999
68,Qatar,2011,52.58201981,41.11022949,18.79969025,,,167775268614.04,4.012239933
69,Singapore,2011,76.69959259,66.56931305,24.54940033,,,279351168707.27,3.0307700630000003
70,Serbia,2011,84.58573914,66.59641266,11.80171013,2.224519968,0.3468700051,49258136128.97,4.238359928
71,Slovak Republic,2011,,84.84931183,18.56543922,16.50371933,1.062469959,99122802874.17,3.929640055
72,Slovenia,2011,96.01802063,78.44616699,,,,51516366654.82,5.5412597660000005
73,Sweden,2011,87.70394897,78.32147979999998,,,,574094112972.73,6.366919994
74,Turkey,2011,49.7481308,31.79866982,,,,838762755164.18,
75,Uruguay,2011,51.21221924,27.01845932,,,,47962439303.72,4.355269909
76,United States,2011,94.90273285,87.59088898,,,,15542581104000.0,
77,Australia,2012,94.44893646,76.48301697,,,,1546151783872.96,4.868999958
78,Austria,2012,,76.97511292,,,,409425234155.26,5.480400085
79,Azerbaijan,2012,95.56986237,88.71308899,,,,69683935845.21,2.067630053
80,Belgium,2012,80.29019165,63.21110153,,,,496181260258.3,
81,Bangladesh,2012,36.04573822,24.67884064,5.8704199789999985,1.725659966,0.08145000041,133355749482.48,2.175499916
82,Bulgaria,2012,94.30368042,72.48085785,21.51111984,,,54033250328.52,3.49484992
83,Switzerland,2012,96.11672974,83.24146271,,,,692109693986.89,5.033370018
84,Colombia,2012,46.40734863,41.40262985,9.464280128,2.8036201000000003,,370921320483.84,4.370389938
85,Costa Rica,2012,50.81568146,37.38465118,,,,47231651864.83,6.68983984
86,Cyprus,2012,78.70480347,68.92121124,,,,24978513426.7,
87,Czech Republic,2012,99.81665802,88.52554321,,,,208857719320.65,4.2508602139999985
88,Germany,2012,96.73085785,82.04736328,,,,3527344944139.83,4.956580162
89,Denmark,2012,99.64360046,76.00238037,,,,327148943812.14,7.237820148
90,Ecuador,2012,46.82740021,37.87625885,10.94832039,0.7656900287,,87924544000.0,4.643070221
91,Finland,2012,,71.95372772,21.1388092,10.42317009,0.9987300038,258304834621.61,7.148039817999999
92,France,2012,80.48766327,63.74972153,,,,2683825225092.63,
93,Georgia,2012,95.59430695,90.92549896,30.17271042,27.3010006,0.2345699966,16488403076.36,1.906100035
94,Greenland,2012,100.0,38.18769073,10.13576984,2.8287200930000003,0.104869999,2609667673.72,
95,Honduras,2012,27.06077003,18.59373093,4.249010086,,,18528601901.32,
96,Hungary,2012,98.28556824,77.6319809,,,,128475498380.38,4.163859844
97,"Iran, Islamic Rep.",2012,64.70646667,44.23712158,14.8149004,2.778789997,0.2233400047,598868460912.85,3.168590069
98,Kuwait,2012,56.03297043,32.69662094,,,,174070382279.39,
99,Lithuania,2012,91.41516876,81.55287170000003,,,,42927454291.48,4.769229889
100,Latvia,2012,99.22438812,86.34323883,,,,28324787663.65,6.5824999810000016
101,Moldova,2012,95.03304291,74.54644775,,,,8709165249.27,6.983389854
102,Mexico,2012,58.01192093,33.79750824,,,,1201089987015.45,5.103099823
103,Malta,2012,73.2910614,32.43569946,,,,9462238211.49,6.522429943
104,Netherlands,2012,89.85910797,67.09863281,,,,838971306990.91,5.410220146
105,Pakistan,2012,34.97536087,25.64950943,,1.63380003,0.4623300135,224383620829.57,2.13628006
106,Portugal,2012,47.23015976,30.02281952,15.23538971,,,216236608773.98,4.949409962
107,Paraguay,2012,42.67852020000001,32.14160156,9.232540131,4.607719898,0.05251000077,33296438306.47,3.667540073
108,West Bank and Gaza,2012,56.69453049,38.02421188,,,,12208400000.0,5.132679939
109,Qatar,2012,60.46305084,41.34368896,20.88371086,,,186833502362.13,3.50744009
110,Singapore,2012,77.39111328,67.70484161,25.67773056,,,295087220933.02,3.070859909
111,Slovak Republic,2012,99.30277252,85.37905121,,,0.0,94534730680.6,3.8677001
112,Slovenia,2012,96.86898041,79.15782166,,,,46580457470.28,5.620230198
113,Sweden,2012,88.33435822,79.00488281,,,,552483727282.8,7.536970139
114,Turkey,2012,51.13713074,32.76625824,,,,880556375779.51,
115,Uruguay,2012,52.46094894,27.54371071,,,,51264390116.49,
116,United States,2012,94.98448944,87.67910004,,,,16197007349000.0,
117,Australia,2013,91.0807724,72.03684235,26.74360085,5.756979942,0.9857800007,1576184467015.49,5.229740143
118,Austria,2013,,77.30635834,,,,430068712971.87,5.5471100810000005
119,Azerbaijan,2013,95.59149933,88.71620941,15.66057014,,0.0,74164435946.46,2.442130089
120,Belgium,2013,81.58792877,64.27867889,30.24835014,12.37928963,0.5343899727,521642714407.84,6.630529881
121,Bangladesh,2013,33.70534897,22.18535042,5.502319813,1.966709971,0.0916299969,149990451022.29,1.966160059
122,Bulgaria,2013,94.32663727,73.93795776,22.91971016,,,55615397665.58,4.0742001530000005
123,Chile,2013,76.16493988,54.06187057,12.26988983,1.033030033,,278384332694.36,4.529429913
124,Colombia,2013,48.1389389,43.28974915,10.07540989,3.100430012,,382116126448.55,4.8785500530000006
125,Cyprus,2013,79.697052,69.89254761,24.8877697,,0.5351799725999999,23900872625.85,6.483779907000001
126,Czech Republic,2013,99.7996521,89.15956879,,,,211685616592.93,4.090889931
127,Germany,2013,96.67179108,82.30825043,,,,3732743446218.92,4.961110115
128,Denmark,2013,99.58493805,76.54907227,,,,343584391647.93,8.494429588
129,Ecuador,2013,47.94152069,38.64950943,11.51803017,1.027250051,,95129659000.0,5.004640102
130,Finland,2013,,72.81208038,21.89092064,10.78516006,1.031540036,271285280621.37,7.124040127000001
131,France,2013,81.50099945,66.3351593,,,,2811077725703.59,
132,Hungary,2013,98.39373779,78.48741913,19.42597961,7.54861021,0.5028399825,135411698965.11,4.197730064
133,"Iran, Islamic Rep.",2013,67.73120117,46.3118515,16.320079800000002,3.209389925,0.2989200056,460293149324.33,3.06795001
134,Kuwait,2013,50.83044815,28.33670998,8.711799622000001,0.3923999965,0.3923999965,174161142454.16,
135,Lithuania,2013,92.28945923,82.31008911,26.38526917,,0.4427500069,46523420074.44,4.609499931
136,Latvia,2013,99.32103729,87.16148376,27.79107094,,0.4690099955,30436727789.44,6.980400085
137,Moldova,2013,95.49427795,74.10775757,19.03648949,0.568780005,0.06374000012999999,9496684701.43,
138,Mexico,2013,56.55838013,31.6299305,14.322609900000002,1.28283,0.08504000306,1274443084716.57,4.696050167
139,Malta,2013,75.63938904,34.48049927,13.08806992,4.23611021,0.2690300047,10551661176.78,7.876140117999999
140,Netherlands,2013,89.41146088,69.5296936,27.21899033,10.06694031,0.554610014,876923518850.41,5.52655983
141,Pakistan,2013,35.42733002,26.07061005,,1.732929945,0.490139991,231218567178.98,2.493439913
142,Portugal,2013,49.28514862,31.86906052,15.87279034,,,226369502104.24,5.270969868
143,Paraguay,2013,46.66381836,36.028759,12.1796999,7.097300053,0.187319994,38651334287.67,
144,West Bank and Gaza,2013,58.02111816,38.50714874,16.25624084,1.652160048,0.3120900095,13515500000.0,5.302499771
145,Qatar,2013,69.48751068,46.06689835,20.51387978,,,198727642979.3,4.073840141
146,Singapore,2013,78.13448334,68.78067017,27.33844948,,,307576360584.99,2.85435009
147,Serbia,2013,85.78730011,66.56281281,11.45818043,0.7617200017,0.2833099961,48394239474.68,
148,Slovak Republic,2013,99.28269196,85.96087646,,,0.0,98848641554.63,4.076489925
149,Slovenia,2013,97.14840698,79.77964783,,,,48401896808.31,5.405729771
150,Sweden,2013,88.92723083,73.91673279,22.03985023,10.38317966,1.158910036,586841821796.89,7.611209869
151,Turkey,2013,52.67531967,33.75851059,,1.5528199669999998,0.34356001020000004,957783020853.03,
152,Uruguay,2013,52.31441116,27.57889938,7.197599887999999,1.406010032,0.06111000106000001,57531233350.91,
153,United States,2013,95.20452881,88.1503067,31.66065979,11.56643963,1.677160025,16784849196000.0,4.931049824
154,Uzbekistan,2013,99.89286804,91.54061127,15.42068005,,,68997168337.68,6.090010166
155,Australia,2014,91.45050049,71.23394012,24.94644928,5.324850082,0.9340800047,1467483705131.74,5.1647701260000005
156,Austria,2014,98.92321777,78.10984039,12.25236988,10.6243,1.078390002,441996131736.51,5.447619915
157,Azerbaijan,2014,95.6078186,88.71417236,15.68144989,,0.0,75244294275.15,2.633039951
158,Belgium,2014,82.34053802,64.01886749,31.25900078,13.4917202,0.4946399927,534678075827.36,6.5904698370000006
159,Bangladesh,2014,34.91572952,23.21816063,5.85213995,2.05821991,0.0967900008,172885454931.45,
160,Bulgaria,2014,94.24516296,73.81308746,24.06306076,,,56901994980.33,
161,Bosnia and Herzegovina,2014,,59.57389069,7.825369835,,,18558343508.34,
162,Switzerland,2014,97.02065277,84.64385223,35.60501099,18.19875908,2.974410057,734396591036.93,5.051229954
163,Colombia,2014,49.46266174,44.59130859,10.51144981,3.275019884,,381112119657.45,4.629459858
164,Costa Rica,2014,54.66732025,40.21863937,22.78627014,2.341840029,,52016408950.89,6.869520187000001
165,Cyprus,2014,78.95928192,69.49954987,25.96552086,9.501049995,0.6168900132,23156850006.64,6.4485001560000015
166,Czech Republic,2014,99.81548309,89.63336182,18.82673073,14.75035,0.5042399764,209358834156.33,3.994620085
167,Germany,2014,96.79914856,82.99720764,24.18294907,10.74888992,1.261129975,3883920155292.26,4.939620018
168,Denmark,2014,91.48561096,76.83499908,28.97826958,10.09982014,0.0,352993631617.71,7.634850025
169,Ecuador,2014,48.77730179,38.52569962,10.42980957,0.9873700142,,101726331000.0,5.260990143
170,Finland,2014,,73.56877136,22.50554085,11.06645966,1.059859991,274497230802.96,7.102369785
171,France,2014,82.63316345,68.53022003,16.39295006,8.351519585,0.7128900290000001,2852165760630.27,
172,Georgia,2014,96.70864868,92.06716156,30.86433029,27.42198944,0.3015800118,17627003454.72,
173,Greenland,2014,100.0,38.92531967,10.39210033,2.9442400930000003,0.08444000036,2842048997.77,
174,Honduras,2014,32.44018936,23.01444054,6.269499778999998,,,19756494434.7,7.090119839
175,Hungary,2014,96.64061737,74.12236023,19.901760100000004,8.479809761,0.6592400074,140765018880.63,4.61743021
176,Indonesia,2014,47.29391861,31.09284019,7.966499805,0.5644500256,,890814755233.23,3.288009882
177,"Iran, Islamic Rep.",2014,68.47985077,46.95283127,16.86667061,3.63906002,0.2863900065,432687036177.82,2.801350117
178,Lithuania,2014,93.06397247,83.32887268,31.49510002,13.19715023,0.4686700106,48533659592.17,4.49105978
179,Latvia,2014,99.42137909,87.78637695,26.55406952,10.6576004,0.4769699872,31329367172.74,5.27489996
180,Moldova,2014,96.17194366,74.72078705,20.08584023,0.6891899705,0.08299999683999999,9510219299.5,6.266019821
181,Mexico,2014,57.48696899,31.7997303,13.95713043,1.244339943,0.08402000367999997,1315351183524.54,5.260620117
182,Malta,2014,76.88651276,35.77473068,13.45734978,4.2165699010000015,0.2449299991,11626281387.01,7.204949856
183,Netherlands,2014,89.36537170000003,69.42220306,28.01170921,10.55712986,0.5608400106,890981311077.66,5.458899975
184,Norway,2014,99.20953369,77.00605774,25.72669029,9.681770325,0.8836100101000001,498410050251.26,7.6950402260000015
185,Pakistan,2014,37.33127975,27.71788979,,1.880820036,0.5160999894,244360888750.81,2.465929985
186,Portugal,2014,51.44493866,34.207588200000004,17.48498917,13.51679039,0.4522199929,229596170847.0,5.124000072
187,Paraguay,2014,46.69829941,36.56420135,11.71026039,6.411159992000001,0.06525000184999999,40377987208.69,
188,West Bank and Gaza,2014,58.7723999,37.9565506,16.5991497,1.5651899580000002,0.2265699953,13989700000.0,
189,Qatar,2014,68.37606812,43.96334076,20.30606079,,,206224598564.62,3.605350018
190,Singapore,2014,78.58763123,69.54628754,27.74241066,,,314851156183.41,
191,Serbia,2014,86.7260437,68.57245636,12.6497097,1.496230006,0.4092099965,47062206677.65,3.926980019
192,Slovak Republic,2014,99.34426117,85.31761932,18.0583992,15.35604954,0.5481600165,101189715749.37,4.221360207
193,Slovenia,2014,97.5927124,80.09108734,18.21730995,13.27260971,1.626549959,49930685013.46,5.291699886
194,Sweden,2014,89.47490692,74.47036743,22.53532028,10.63362026,1.183109999,581964017237.1,7.573729992
195,Turkey,2014,54.96775818,35.23741913,,1.636199951,0.35078001020000005,938952628604.07,
196,Uruguay,2014,53.38447952,28.4531498,7.408420086,1.632500052,,57236013086.12,
197,United States,2014,95.26347351,88.31358337,31.955799100000004,11.76535988,1.76947999,17527163695000.0,4.961740017
198,Uzbekistan,2014,99.86815643,91.94763184,15.67679024,,,76658542757.47,6.025269985
199,Australia,2015,92.67857361,75.55976105,29.78425026,7.02229023,1.3170000309999998,1351693984524.5,5.311270237
